,Ammonium Ion PM2.5 LC,Chloride PM2.5 LC,EC PM2.5 LC TOR,OC PM2.5 LC TOR,PM2.5 - Local Conditions,Sulfate PM2.5 LC,Total Nitrate PM2.5 LC
2021-01-01,0.15,1.26647,5.372,7.478,26.9,1.41,1.71
2021-01-04,0.02,0.8209,0.643,1.835,6.144,0.33,0.98
2021-01-07,1.24,0.37944,2.614,6.015,19.632,0.84,5.15
2021-01-10,0.3,0.37923,2.577,5.222,15.54,0.48,2.12
2021-01-13,0.44,0.28485,1.792,5.002,15.527999999999999,0.55,3.34
2021-01-16,0.57,0.35823,2.898,5.937,18.488,0.62,2.78
2021-01-19,0.03,0.03723,0.251,1.395,2.832,0.17,0.17
2021-01-22,0.0,0.40336,0.548,2.302,7.768,0.25,0.75
2021-01-25,0.0,0.90388,0.14,0.57,3.032,0.21,0.27
2021-01-28,0.01,0.03529,0.302,1.003,2.036,0.06,0.25
2021-01-31,0.05,0.06749,0.642,2.29,4.952,0.27,0.64
2021-02-03,0.04,0.31286,0.573,1.844,4.38,0.23,0.56
2021-02-06,0.3,0.2367,1.965,4.587,12.7,0.39,1.96
2021-02-09,0.42,0.68271,0.541,2.355,9.187999999999999,0.69,2.35
2021-02-12,0.01,0.51637,0.15,1.143,3.54,0.2,0.33
2021-02-15,0.0,1.06786,0.127,0.743,4.544,0.34,0.36
2021-02-18,0.08,0.19839,0.962,2.374,6.707999999999999,0.3,0.73
2021-02-21,0.07,0.5686,1.767,2.949,8.66,0.31,1.0
2021-02-24,0.03,0.80587,0.84,1.989,7.104,0.47,0.71
2021-02-27,0.0,1.81554,0.408,1.667,8.54,0.51,0.58
2021-03-02,0.24,0.13847,0.804,2.43,9.24,0.58,1.58
2021-03-05,0.16,0.32174,0.361,2.132,8.62,0.86,1.0
2021-03-08,0.05,0.77576,0.188,1.497,8.572000000000001,0.76,0.6
2021-03-11,0.11,0.09987,0.29,1.088,4.208,0.28,1.01
2021-03-14,0.02,0.16499,0.138,0.592,2.116,0.45,0.4
2021-03-17,0.07,0.48595,0.607,1.527,6.156000000000001,0.48,1.16
2021-03-20,0.02,0.55662,0.453,1.727,6.02,0.33,0.66
2021-03-23,0.01,0.38352,0.126,0.781,2.972,0.43,0.23
2021-03-26,0.05,0.69419,0.462,1.645,5.892,0.45,0.83
2021-03-29,0.26,1.14723,0.359,1.448,7.4,0.85,1.7
2021-04-01,0.24,0.08008,0.878,2.972,10.744000000000002,0.82,0.93
2021-04-04,0.17,0.16244,0.094,0.59,3.572,0.85,0.42
2021-04-07,0.08,0.80097,0.129,1.162,7.152,0.95,0.82
2021-04-10,0.04,1.16644,0.377,1.842,7.528,0.79,1.0
2021-04-13,0.07,2.41106,0.197,1.577,11.9,0.92,1.28
2021-04-16,0.41,0.9773,0.16,1.951,10.74,1.49,1.51
2021-04-19,0.43,1.09842,0.354,1.719,9.54,1.25,1.44
2021-04-22,0.17,1.1222,0.1,1.161,7.736000000000001,1.24,0.76
2021-04-25,0.01,0.3368,0.193,0.822,2.5,0.44,0.4
2021-04-28,0.04,0.27928,0.446,1.841,6.112,0.39,0.67
2021-05-01,0.01,0.58266,0.18,1.116,3.568,0.41,0.34
2021-05-04,0.06,1.93986,0.442,1.717,13.1,0.88,1.48
2021-05-07,0.02,1.95264,0.162,1.176,9.24,0.68,0.85
2021-05-10,0.04,2.15195,0.236,1.333,10.995999999999999,0.87,1.23
2021-05-13,0.4,0.3254,0.252,1.315,5.84,0.96,2.1
2021-05-16,0.01,0.24755,0.049,0.62,2.36,0.49,0.33
2021-05-19,0.02,1.52244,0.114,0.587,5.684,0.61,0.45
2021-05-22,0.12,1.81269,0.088,1.122,9.908,1.28,0.94
2021-05-25,0.01,0.52489,0.224,1.193,3.1639999999999997,0.41,0.43
2021-05-28,0.02,1.52768,0.162,1.144,7.5120000000000005,0.79,1.03
2021-05-31,0.09,2.19015,0.233,2.559,15.776,1.24,2.01
2021-06-03,0.05,0.43776,0.244,1.188,5.216,0.66,0.9
2021-06-06,0.02,2.96878,0.043,0.66,11.42,0.86,0.74
2021-06-09,0.02,0.18013,0.188,0.73,1.936,0.49,0.25
2021-06-21,0.07,0.18087,0.115,0.96,3.964,0.68,0.58
2021-06-27,0.16,0.07527,0.132,0.738,2.48,0.74,0.37
2021-06-30,0.14,0.41159,0.196,1.832,6.329166666666667,0.82,0.64
2021-07-03,0.16,0.05801,0.208,1.12,4.104,0.74,0.37
2021-07-06,0.05,0.37786,0.131,1.068,4.516,0.7,0.48
2021-07-09,0.1,1.31842,0.505,1.975,13.708,1.13,2.16
2021-07-15,0.19,0.21967,0.187,1.169,4.56,0.77,0.64
2021-07-18,0.3,0.746,0.272,1.597,9.144,1.47,1.37
2021-07-21,0.15,1.84417,0.324,1.741,10.548,1.06,1.62
2021-07-24,0.39,0.79203,0.276,1.912,9.228,1.9,1.6
2021-07-27,0.28,0.07036,0.352,1.486,5.82,0.98,0.79
2021-07-30,0.57,0.0864,0.419,1.951,7.4479999999999995,1.31,1.21
2021-08-02,0.27,0.05852,0.213,1.2,3.66,0.91,0.69
2021-08-05,0.07,0.16789,0.281,1.633,4.156000000000001,0.62,0.39
2021-08-08,0.15,0.07587,0.262,1.408,4.096,0.77,0.34
2021-08-11,0.57,0.25431,0.593,2.745,10.4,1.35,1.77
2021-08-14,0.53,0.16236,0.44,3.387,10.96,1.42,1.01
2021-08-17,0.12,1.44489,0.201,1.923,8.988,1.15,1.0
2021-08-20,0.51,0.24431,0.598,4.644,13.995999999999999,1.39,1.28
2021-08-23,0.28,0.2202,0.423,2.185,6.772,1.02,0.65
2021-08-26,0.55,0.35626,0.724,4.871,15.76,1.28,1.98
2021-08-29,0.51,1.16595,0.769,5.847,20.656,1.54,2.32
2021-09-04,1.02,0.2518,0.82,7.187,20.9,1.56,2.65
2021-09-07,0.42,0.14698,1.339,7.751,19.792,0.86,0.92
2021-09-10,0.03,0.35253,0.335,1.666,6.86,0.71,0.97
2021-09-13,0.23,1.71097,0.59,2.015,13.732000000000001,1.29,2.32
2021-09-16,0.28,0.82111,0.238,1.79,9.92,1.45,1.08
2021-09-19,0.03,0.27987,0.111,0.79,2.968,0.61,0.41
2021-09-22,0.14,0.20312,0.619,2.605,9.66,0.9,1.48
2021-09-25,0.9,0.37679,0.458,2.531,10.184,1.66,2.34
2021-09-28,0.0,0.95342,0.14,1.138,5.016,0.43,0.39
2021-10-01,0.1,0.09992,1.121,3.267,10.15,0.55,1.09
2021-10-04,0.25,0.10133,1.197,4.309,13.864,0.87,1.04
2021-10-07,0.01,1.06529,0.379,1.285,6.624,0.48,0.97
2021-10-10,0.03,0.62334,0.437,1.687,5.836,0.52,0.76
2021-10-13,0.0,0.54901,0.534,1.556,5.052,0.34,0.57
2021-10-16,0.12,0.08421,1.342,4.972,10.588,0.5,0.7
2021-10-19,0.04,0.09799,0.431,2.094,3.772,0.32,0.82
2021-10-22,-0.01,0.38486,0.211,1.313,3.14,0.31,0.38
2021-10-25,-0.01,0.75477,0.329,2.577,5.747999999999999,0.21,0.19
2021-10-28,0.18,0.17896,1.059,3.81,10.376,0.48,1.5
2021-10-31,0.0,0.05762,0.336,1.168,2.6639999999999997,0.19,0.35
2021-11-03,0.37,0.08323,0.95,3.569,8.656,0.77,1.82
2021-11-06,0.06,0.43896,0.618,2.327,6.867999999999999,0.5,0.85
2021-11-09,0.04,0.46662,0.183,1.188,5.192,0.46,0.53
2021-11-12,0.5,0.14657,1.785,5.333,14.991666666666667,1.05,2.23
2021-11-15,2.0,0.22934,1.978,4.744,19.236,2.04,5.97
2021-11-18,1.25,0.14938,1.831,3.955,15.732000000000001,0.9,4.73
2021-11-21,0.19,0.1032,2.114,5.355,13.012,0.4,1.12
2021-11-24,0.11,0.10331,1.312,3.551,7.632000000000001,0.31,0.65
2021-11-27,1.07,0.17845,3.073,7.448,21.904,0.84,3.74
2021-11-30,1.26,0.42249,2.788,7.381,22.248,0.83,4.21
2021-12-06,3.16,0.46698,1.21,3.125,20.252,3.79,6.86
2021-12-09,0.01,0.63881,0.505,2.072,6.568,0.29,0.56
2021-12-12,0.08,0.08007,0.237,1.048,2.528,0.49,0.44
2021-12-15,0.0,0.21623,0.209,0.786,1.348,0.11,0.17
2021-12-18,0.73,0.33506,2.825,6.475,17.48,0.45,3.27
2021-12-24,0.01,0.49415,0.354,1.711,3.8,0.26,0.33
2021-12-27,0.01,0.39153,0.37,1.462,8.272727272727273,0.17,0.27
2021-12-30,0.47,0.11002,0.37,1.299,4.6,0.31,2.14
2022-01-02,0.18,0.16511,1.869,4.248,11.18,0.26,1.57
2022-01-05,0.19,0.36989,0.742,1.295,5.716,0.35,1.58
2022-01-08,0.13,0.24004,1.165,3.337,9.844,0.49,1.36
2022-01-11,0.97,0.75168,2.618,5.712,17.256,0.54,3.41
2022-01-14,0.29,0.19192,1.892,4.708,12.44,0.3,1.79
2022-01-17,1.89,0.30797,2.919,7.858,26.811999999999998,0.84,7.06
