,Ammonium Ion PM2.5 LC,Chloride PM2.5 LC,EC PM2.5 LC TOR,OC PM2.5 LC TOR,PM2.5 - Local Conditions,Sulfate PM2.5 LC,Total Nitrate PM2.5 LC
2021-01-01,0.17,0.61663,4.211,5.329,18.5,1.07,1.92
2021-01-02,,,,,12.9,,
2021-01-03,,,,,19.5,,
2021-01-04,1.4866666666666666,0.34647,1.699,4.032,19.6,0.7399999999999999,4.776666666666666
2021-01-05,,,,,26.9,,
2021-01-06,,,,,15.0,,
2021-01-07,0.62,0.184,2.104,4.578,15.3,0.55,3.47
2021-01-08,,,,,20.1,,
2021-01-09,,,,,17.3,,
2021-01-10,0.17,0.10297333333333332,1.263,2.826,7.3,0.27,0.7200000000000001
2021-01-11,,,,,8.2,,
2021-01-12,,,,,10.2,,
2021-01-13,0.15,0.10851,1.83,3.281,9.7,0.33,1.49
2021-01-14,,,,,10.9,,
2021-01-15,,,,,11.2,,
2021-01-16,0.42333333333333334,0.25182,2.102,4.526,13.2,0.42,1.4466666666666665
2021-01-17,,,,,9.5,,
2021-01-18,,,,,14.4,,
2021-01-19,0.93,0.2043,0.705,1.466,8.2,0.83,3.77
2021-01-20,,,,,7.2,,
2021-01-21,,,,,8.0,,
2021-01-22,0.32,0.23034,0.647,1.858,7.3,0.4766666666666666,1.23
2021-01-23,,,,,6.5,,
2021-01-24,,,,,9.7,,
2021-01-25,0.0,0.30272,0.27,0.704,2.6,0.16,0.31
2021-01-26,,,,,5.5,,
2021-01-27,,,,,6.3,,
2021-01-28,0.27666666666666667,0.2803533333333333,0.915,1.765,6.35,0.31,1.0566666666666666
2021-01-29,,,,,4.2,,
2021-01-30,,,,,8.1,,
2021-01-31,0.07,0.07562,1.103,3.027,7.4,0.23,0.89
2021-02-01,,,,,8.1,,
2021-02-02,,,,,10.5,,
2021-02-03,0.6133333333333334,0.2883233333333333,0.92,3.165,9.7,0.4666666666666666,2.356666666666667
2021-02-04,,,,,14.6,,
2021-02-05,,,,,11.3,,
2021-02-06,1.25,0.12305,2.108,4.66,17.1,0.62,5.23
2021-02-07,,,,,24.5,,
2021-02-08,,,,,26.2,,
2021-02-09,1.6766666666666667,0.3405133333333333,0.624,1.99,16.15,1.38,5.233333333333333
2021-02-10,,,,,20.3,,
2021-02-11,,,,,22.3,,
2021-02-12,1.05,0.46044,0.793,1.822,9.1,1.27,3.63
2021-02-13,,,,,7.9,,
2021-02-14,,,,,2.1,,
2021-02-15,0.37666666666666665,0.4554566666666666,0.893,2.242,9.8,0.47333333333333333,2.03
2021-02-16,,,,,6.6,,
2021-02-17,,,,,6.0,,
2021-02-18,0.07,0.20823,1.371,2.529,7.8,0.38,0.88
2021-02-19,,,,,9.0,,
2021-02-20,,,,,8.8,,
2021-02-21,0.15,0.11323,1.051,2.316,6.6,0.29666666666666663,0.49666666666666665
2021-02-22,,,,,6.3,,
2021-02-23,,,,,7.6,,
2021-02-24,0.98,0.32205,1.433,3.343,11.3,0.66,4.27
2021-02-25,,,,,14.0,,
2021-02-26,,,,,9.4,,
2021-02-27,0.5833333333333334,0.24695666666666663,1.301,2.96,11.3,0.7399999999999999,2.21
2021-02-28,,,,,9.9,,
2021-03-01,,,,,5.5,,
